"","tree_species","quadrant_color","plot_code","dbh_diameter_cm","tree_height_low_50cm_high_50_cm","number_of_egg_masses","areas_of_egg_masses","total_area_estimate","estimated_number_of_eggs","observers","notes"
"42","Red oak","Yellow","4N6","6.7","High",8,"D + D + E + D + E + E + E + E",NA,NA,"Michael and Carly","0"
"43","Red oak","Red","QURN","19.5","Low",0,"0",NA,NA,"Michael and Carly","0"
"44","Red","Red","QURN","19.5","High",3,"D + D + D",NA,NA,"Michael and Carly","0"
"45","Red oak","Red","QURN","14.6","Low",0,"0",NA,NA,"Michael and Carly","0"
"46","Red oak","Red","QURN","14.6","High",8,"D + D + C + B D + C + C + C",NA,NA,"Michael and Carly","0"
"47","Red oak","Red","QURN","10.6","Low",0,"0",NA,NA,"Michael and Carly","0"
"48","Red oak","Red","QURN","10.6","High",19,"D + D + D + C + B + D + E + C + C + C + C + D + D + D + D + D + D + E + B",NA,NA,"Michael and Carly","0"
"49","White pine","White","12N","1.9","Low",4,"D + E + D + C",NA,NA,"Michael and Carly","0"
"50","White pine","White","12N","1.9","High",3,"D + C + C",NA,NA,"Michael and Carly","0"
"51","White pine","White","12N","1.9","Low",0,"0",NA,NA,"Michael and Carly","0"
"52","White pine","White","12N","1.9","High",0,"0",NA,NA,"Michael and Carly","0"
"53","White pine","White","12N","2.8","Low",0,"0",NA,NA,"Michael and Carly","0"
"54","White pine","White","12N","2.8","High",1,"C",NA,NA,"Michael and Carly","0"
"55","White pine","White","12N","4.1","Low",1,"B",NA,NA,"Michael and Carly","0"
"56","White pine","White","12N","4.1","High",1,"B",NA,NA,"Michael and Carly","0"
"57","White pine","White","12N","2.6","Low",0,"0",NA,NA,"Michael and Carly","0"
"58","White pine","White","12N","2.6","High",0,"0",NA,NA,"Michael and Carly","0"
"59","Sugar maple","White","12N","3.3","Low",1,"D",NA,NA,"Michael and Carly","0"
"60","Sugar maple","White","12N","3.3","High",0,"0",NA,NA,"Michael and Carly","0"
"61","Sugar maple","Blue","12N","2.9","Low",2,"A + C",NA,NA,"Michael and Carly","0"
"62","Sugar maple","Blue","12N","2.9","High",2,"C + C",NA,NA,"Michael and Carly","0"
"63","Sugar maple","Blue","12N","3.8 + 2.5","Low",3,"D + C + B",NA,NA,"Michael and Carly","0"
"64","Sugar maple","Blue","12N","3.8 + 2.5","High",5,"C + D + E + E + D",NA,NA,"Michael and Carly","0"
"65","Sugar maple","Blue","ACSA","4.9","Low",0,"0",NA,NA,"Michael and Carly","None. Yes Tree protection"
"66","Sugar maple","Blue","ACSA","4.9","High",0,"0",NA,NA,"Michael and Carly","None. Yes tree protection"
"67","Sugar maple","Blue","ACSA","7.7","Low",0,"0",NA,NA,"Michael and Carly","None. Minimal tree protection"
"68","Sugar maple","Blue","ACSA","7.7","High",0,"0",NA,NA,"Michael and Carly","None. Minimal tree protection"
"69","Sugar maple","Blue","ACSA","10.6","Low",0,"0",NA,NA,"Michael and Carly","None. No tree protection."
"70","Sugar maple","Blue","ACSA","10.6","High",0,"0",NA,NA,"Michael and Carly","None. No tree protection"
"71","Sugar maple","Blue","ACSA","12.1","Low",3,"D + E + E + D",NA,NA,"Michael and Carly","No Tree protection"
"72","Sugar maple","Blue","ACSA","12.1","High",5,"E + E + D + E + D",NA,NA,"Michael and Carly","No Tree protection"
"73","Sugar maple","Blue","ACSA","6.8","Low",0,"0",NA,NA,"Michael and Carly","Yes tree protection"
"74","Sugar maple","Blue","ACSA","6.8","High",2,"D + D",NA,NA,"Michael and Carly","Yes tree protection"
"75","Sugar maple","Blue","ACSA","5.9","Low",0,"0",NA,NA,"Michael and Carly","Yes tree protection"
"76","Sugar maple","Blue","ACSA","5.9","High",3,"C + D +C",NA,NA,"Michael and Carly","Yes tree protection"
"77","Red oak","Blue","4N6","8.3","Low",0,"0",NA,NA,"Michael and Carly","No tree protection in this plot (4N6)"
"78","Red oak","Blue","4N6","8.3","High",7,"E + D + C + D + D + D + C",NA,NA,"Michael and Carly","No tree protection in this plot (4N6)"
"79","Red oak","Blue","4N6","13.3","Low",0,"0",NA,NA,"Michael and Carly","0"
"80","Red oak","Blue","4N6","13.3","High",11,"E + E + E + D + D + E + E + B + D + E + C",NA,NA,"Michael and Carly","0"
"81","Red oak","Blue","4N6","6.4","Low",2,"D + E",NA,NA,"Michael and Carly","0"
"82","Red oak","Blue","4N6","6.4","High",2,"E + D",NA,NA,"Michael and Carly","0"
"83","Spruce","Blue","4NR7","1.5","Low",4,"C + E + D + D",NA,NA,"Nicole and Noa","0"
"84","Spruce","Blue","4NR7","1.5","High",4,"D + D + E + C",NA,NA,"Nicole and Noa","0"
"85","Sugar maple","Blue","4NR7","5","Low",3,"D + D + D",NA,NA,"Nicole and Noa","White tape"
"86","Sugar maple","Blue","4NR7","5","High",1,"D",NA,NA,"Nicole and Noa","White tape"
"87","Sugar maple","Blue","4NR7","2.3 + 3.0","Low",3,"D + E + D",NA,NA,"Nicole and Noa","White tape"
"88","Sugar maple","Blue","4NR7","2.3 + 3.0","High",0,"0",NA,NA,"Nicole and Noa","White tape"
"89","Sugar maple","Blue","4NR7","4.3","Low",2,"D + C",NA,NA,"Nicole and Noa","White tape"
"90","Sugar maple","Blue","4NR7","4.3","High",3,"E + C + E + D + E + E + D + D + D + E + C + E + E + E + D + D + D + D",NA,NA,"Nicole and Noa","White tape"
"91","Sugar maple","Blue","4NR7","4.4","Low",2,"A + E",NA,NA,"Nicole and Noa","Next (adjacent) to previous records"
"92","Sugar maple","Blue","4NR7","4.4","High",1,"D",NA,NA,"Nicole and Noa","Next (adjacent) to previous records"
"93","Sugar maple","Blue","4NR7","4.6","Low",8,"E + D + D + C + C + D + D + E",NA,NA,"Nicole and Noa","White tape"
"94","Sugar maple","Blue","4NR7","4.6","High",7,"E + D + E + C + E + D + C",NA,NA,"Nicole and Noa","White tape"
"95","Sugar maple","Blue","4NR7","3.7 + 2.7 + 1.4","Low",9,"E + E + D + E + E + E + D + D + D",NA,NA,"Nicole and Noa","0"
"96","Sugar maple","Blue","4NR7","3.7 + 2.7 + 1.4","High",0,"0",NA,NA,"Nicole and Noa","0"
"97","White pine","Blue","4NR7","1.5","Low",2,"C + E",NA,NA,"Nicole and Noa","0"
"98","White pine","Blue","4NR7","1.5","High",1,"C",NA,NA,"Nicole and Noa","0"
"99","White pine","Blue","4NR7","2.6","Low",7,"C + D + C + D + A + D + E",NA,NA,"Nicole and Noa","0"
"100","White pine","Blue","4NR7","2.6","High",2,"B + B",NA,NA,"Nicole and Noa","0"
"101","White pine","Blue","PIST","3.6","Low",0,"0",NA,NA,"Nicole and Noa","0"
"102","White pine","Blue","PIST","3.6","High",1,"D",NA,NA,"Nicole and Noa","0"
"103","White pine","Blue","PIST","4.2","Low",0,"0",NA,NA,"Nicole and Noa","0"
"104","White pine","Blue","PIST","4.2","High",0,"0",NA,NA,"Nicole and Noa","0"
"105","White pine","Blue","PIST","4.3","Low",0,"0",NA,NA,"Nicole and Noa","0"
"106","White pine","Blue","PIST","4.3","High",2,"A + E",NA,NA,"Nicole and Noa","0"
"107","White pine","Blue","PIST","3.8","Low",1,"D",NA,NA,"Nicole and Noa","0"
"108","White pine","Blue","PIST","3.8","High",1,"C",NA,NA,"Nicole and Noa","0"
"109","White pine","Blue","PIST","3.2","Low",2,"D + B",NA,NA,"Nicole and Noa","0"
"110","White pine","Blue","PIST","3.2","High",2,"C + C",NA,NA,"Nicole and Noa","0"
"111","White pine","Blue","PIST","4.3","Low",4,"E + C + D + D",NA,NA,"Nicole and Noa","0"
"112","White pine","Blue","PIST","4.3","High",4,"A + A + E + E",NA,NA,"Nicole and Noa","0"
"113","White pine","Blue","4NR7","2.2","Low",3,"D + D + D",NA,NA,"Nicole and Noa","0"
"114","White pine","Blue","4NR7","2.2","High",0,"0",NA,NA,"Nicole and Noa","0"
"115","White pine","Yellow","PIST","8.1","Low",1,"E",NA,NA,"Nicole and Noa","0"
"116","White pine","Yellow","PIST","8.1","High",5,"C + C + C + C + D",NA,NA,"Nicole and Noa","0"
"117","White pine","Yellow","PIST","3.9","Low",1,"D",NA,NA,"Nicole and Noa","0"
"118","White pine","Yellow","PIST","3.9","High",0,"0",NA,NA,"Nicole and Noa","0"
"119","White pine","Yellow","PIST","6.9","Low",2,"C + D",NA,NA,"Nicole and Noa","0"
"120","White pine","Yellow","PIST","6.9","High",1,"D",NA,NA,"Nicole and Noa","0"
"121","White pine","Yellow","PIST","3.2 + 1.5","Low",1,"D",NA,NA,"Nicole and Noa","0"
"122","White pine","Yellow","PIST","3.2 + 1.5","High",0,"0",NA,NA,"Nicole and Noa","0"
"123","White pine","Yellow","PIST","5.7","Low",0,"0",NA,NA,"Nicole and Noa","0"
"124","White pine","Yellow","PIST","5.7","High",3,"D + D + C",NA,NA,"Nicole and Noa","0"
"125","White pine","Yellow","PIST","3.7","Low",2,"E + E",NA,NA,"Nicole and Noa","0"
"126","White pine","Yellow","PIST","3.7","High",4,"C + C + E + D",NA,NA,"Nicole and Noa","0"
"127","Sugar maple","Yellow","ACSA","9.1","Low",0,"0",NA,NA,"Nicole and Noa","0"
"128","Sugar maple","Yellow","ACSA","9.1","High",7,"E + E + E + E + E + D + C",NA,NA,"Nicole and Noa","0"
"129","Sugar maple","Yellow","ACSA","6.2","Low",2,"D + E",NA,NA,"Nicole and Noa","white tape"
"130","Sugar maple","Yellow","ACSA","6.2","High",1,"D",NA,NA,"Nicole and Noa","white tape"
"131","Sugar maple","Yellow","ACSA","8.9","Low",1,"E",NA,NA,"Nicole and Noa","0"
"132","Sugar maple","Yellow","ACSA","8.9","High",0,"0",NA,NA,"Nicole and Noa","0"
"133","Red oak","Yellow","4N6","7","Low",1,"E",NA,NA,"Nicole and Noa","0"
"134","Red oak","Yellow","4N6","7","High",0,"0",NA,NA,"Nicole and Noa","0"
"135","Red oak","Yellow","4N6","10.4","Low",1,"E",NA,NA,"Nicole and Noa","0"
"136","Red oak","Yellow","4N6","10.4","High",4,"D + D + E + A",NA,NA,"Nicole and Noa","0"
"137","Red oak","Yellow","4N6","10.6","Low",0,"0",NA,NA,"Nicole and Noa","0"
"138","Red oak","Yellow","4N6","10.6","High",1,"D",NA,NA,"Nicole and Noa","0"
"139","White pine","Yellow","4N7","2","Low",0,"0",NA,NA,"Nicole and Noa","0"
"140","White pine","Yellow","4N7","2","High",0,"0",NA,NA,"Nicole and Noa","0"
"141","White pine","Yellow","4N7","2.6","Low",1,"C",NA,NA,"Nicole and Noa","0"
"142","White pine","Yellow","4N7","2.6","High",0,"0",NA,NA,"Nicole and Noa","0"
"143","White pine","Yellow","4N7","2.1","Low",1,"A",NA,NA,"Nicole and Noa","0"
"144","White pine","Yellow","4N7","2.1","High",2,"C + D",NA,NA,"Nicole and Noa","0"
"145","Sugar maple","Yellow","12N","6","Low",1,"C",NA,NA,"Nicole and Noa","0"
"146","Sugar maple","Yellow","12N","6","High",5,"B + B + C + E + A",NA,NA,"Nicole and Noa","0"
"147","Sugar maple","Yellow","12N","5.3","Low",1,"C",NA,NA,"Nicole and Noa","0"
"148","Sugar maple","Yellow","12N","5.3","High",2,"C + B",NA,NA,"Nicole and Noa","0"
"149","White pine","Yellow","12N","1.7","Low",0,"0",NA,NA,"Nicole and Noa","0"
"150","White pine","Yellow","12N","1.7","High",0,"0",NA,NA,"Nicole and Noa","0"
"151","White pine","Yellow","12N","1.6","Low",0,"0",NA,NA,"Nicole and Noa","0"
"152","White pine","Yellow","12N","1.6","High",0,"0",NA,NA,"Nicole and Noa","0"
"153","White pine","Red","4N6","2.2","Low",0,"0",NA,NA,"Nicole and Noa","0"
"154","White pine","Red","4N6","2.2","High",0,"0",NA,NA,"Nicole and Noa","0"
"155","White pine","Red","4N6","2","Low",1,"E",NA,NA,"Nicole and Noa","0"
"156","White pine","Red","4N6","2","High",0,"0",NA,NA,"Nicole and Noa","0"
"157","White pine","Red","4N6","1.2","Low",2,"D + D",NA,NA,"Nicole and Noa","0"
"158","White pine","Red","4N6","1.2","High",1,"D",NA,NA,"Nicole and Noa","0"
"159","Red oak","Red","4N6","13.4","Low",0,"0",NA,NA,"Nicole and Noa","0"
"160","Red oak","Red","4N6","13.4","High",11,"E + E + E + D + D + D + D + D + D + D + D",NA,NA,"Nicole and Noa","0"
"161","Red oak","Red","4N6","3.4","Low",0,"0",NA,NA,"Nicole and Noa","0"
"162","Red oak","Red","4N6","3.4","High",3,"D + D + E",NA,NA,"Nicole and Noa","0"
"163","Red oak","Red","4N6","4.6","Low",3,"D + D + E",NA,NA,"Nicole and Noa","0"
"164","Red oak","Red","4N6","4.6","High",1,"E",NA,NA,"Nicole and Noa","0"
"165","Red oak","Red","4N6","13.4","Low",4,"D + D + E + C",NA,NA,"Nicole and Noa","0"
"166","Red oak","Red","4N6","13.4","High",8,"E + E + E + E + D + D + C + C",NA,NA,"Nicole and Noa","0"
"167","Sugar maple","Red","12N","3.8","Low",1,"D",NA,NA,"Nicole and Noa","0"
"168","Sugar maple","Red","12N","3.8","High",8,"D + D + D + D + D E + E + C",NA,NA,"Nicole and Noa","0"
"169","Red oak","Red","12N","7.1","Low",0,"0",NA,NA,"Nicole and Noa","0"
"170","Red oak","Red","12N","7.1","High",1,"D",NA,NA,"Nicole and Noa","0"
"171","Red oak","Red","12N","4.3","Low",1,"D",NA,NA,"Nicole and Noa","0"
"172","Red oak","Red","12N","4.3","High",0,"0",NA,NA,"Nicole and Noa","0"
"173","Red oak","Red","12N","5.3","Low",0,"0",NA,NA,"Nicole and Noa","0"
"174","Red oak","Red","12N","5.3","High",2,"E + E",NA,NA,"Nicole and Noa","0"
"175","Sugar maple","Red","12N","3.4 + 1.7","Low",1,"E",NA,NA,"Nicole and Noa","0"
"176","Sugar maple","Red","12N","3.4 + 1.7","High",0,"0",NA,NA,"Nicole and Noa","0"
"177","Red oak","Red","12N","5.2","Low",1,"E",NA,NA,"Nicole and Noa","0"
"178","Red oak","Red","12N","5.2","High",2,"E + E",NA,NA,"Nicole and Noa","0"
"179","White pine","Red","12N","1.3","Low",0,"0",NA,NA,"Nicole and Noa","0"
"180","White pine","Red","12N","1.3","High",0,"0",NA,NA,"Nicole and Noa","0"
"181","White pine","Red","12N","3.5","Low",1,"E",NA,NA,"Nicole and Noa","0"
"182","White pine","Red","12N","3.5","High",0,"0",NA,NA,"Nicole and Noa","0"
"183","Red oak","Red","12N","9.1","Low",4,"E + E + D + C",NA,NA,"Nicole and Noa","0"
"184","Red oak","Red","12N","9.1","High",4,"D + D + E + E",NA,NA,"Nicole and Noa","0"
